1	[125.43718223 186.3249658  176.16176788] 0.38276666666666664	[ 4.75294478  7.44344825 10.93511226] 0.39324444444444445	[101.541754   170.17574681  39.03679111] 0.15884444444444445	[209.2530771   13.32858124  66.01538222] 0.012088888888888889	[38.9243357  93.56725119 83.93167035] 0.05305555555555556
2	[3.38515618 4.56525474 6.4128656 ] 0.5854333333333334	[  0.40686203 161.02147402  58.50769551] 0.11788888888888889	[ 98.93155758 190.35755845 203.40397155] 0.16726666666666667	[216.46583052  77.19595674 124.79638151] 0.08857777777777778	[ 32.48099696 100.47932018  88.82330362] 0.04083333333333333
3	[114.63080499 186.76189791 198.19243172] 0.28375555555555554	[ 7.86891416 10.4179254  12.07843626] 0.47923333333333334	[217.22388309  81.96146281 119.9736783 ] 0.08717777777777778	[  1.08260331 154.47253993  56.30868508] 0.11721111111111111	[185.89171348 129.04468197   1.849162  ] 0.03262222222222222
4	[229.82252332 125.3075718    0.78296445] 0.1955	[3.0466095  3.14741093 3.63522892] 0.7148333333333333	[244.63327447 235.5225845  129.56644334] 0.059922222222222224	[199.44253151 172.695904   172.32304013] 0.016244444444444443	[223.0195017    5.4459947   31.23649096] 0.0135
5	[2.18364663 2.68025711 3.98758807] 0.6496555555555555	[225.8364291   52.65218203  31.09636469] 0.25358888888888886	[246.09118328 235.03749096 189.23721107] 0.06996666666666666	[238.50197264 229.09395915   8.47734934] 0.011	[106.37399259  50.79353051  41.29675652] 0.01578888888888889
6	[ 14.05207586 118.07471341 123.98178881] 0.10614444444444444	[237.6765422  145.32537735   2.00247147] 0.19483333333333333	[2.65953477 3.68983729 4.83708966] 0.6076888888888888	[248.27350948 239.25132389 150.51285855] 0.07134444444444445	[116.64516953  80.08180811  22.54691573] 0.01998888888888889
7	[131.6302983  197.87286059 187.38027504] 0.3284888888888889	[2.52183522 3.73280178 5.56252343] 0.5339333333333334	[234.33610509 217.98754738   0.41481616] 0.09247777777777778	[188.19667048  90.91413111   4.64444519] 0.026822222222222223	[70.91901831 86.68880632 73.39910268] 0.018277777777777778
8	[131.0192528  156.80779042 203.0846044 ] 0.22402222222222223	[4.50814367 5.84242193 7.87494156] 0.5332222222222223	[247.02965665 240.16045827 170.67498958] 0.06038888888888889	[170.92155046  62.83413149   1.80300038] 0.018722222222222223	[176.55744993 203.59850747 223.68463905] 0.16364444444444445
9	[93.27453086 80.58170739 62.37708646] 0.035255555555555554	[220.87308404 214.85700465 152.36578805] 0.13671111111111112	[ 45.61371199 137.90784597 188.10302076] 0.1812888888888889	[3.43710336 5.27645425 7.76098177] 0.5507	[218.10834177 217.98791576 216.01397671] 0.09604444444444445
10	[225.7028417  212.23325094 124.08416856] 0.13298888888888888	[3.381406   5.13946601 7.53191941] 0.57	[105.41687789 181.23350939  87.81011181] 0.23802222222222222	[201.95261974  76.21168279 106.6048352 ] 0.03317777777777778	[ 88.14434643 103.52743999  75.76018362] 0.02581111111111111
11	[0.88427894 1.43513015 2.08042999] 0.7411666666666666	[110.91072665 184.86066586  43.96241054] 0.19541111111111112	[47.71090378 77.33374326 32.49671931] 0.012133333333333333	[246.38455688 246.6306086  246.85714879] 0.0038666666666666667	[ 93.15578273 157.56201379  36.28443951] 0.04742222222222222
12	[2.66340416 4.36428024 6.7473137 ] 0.6149888888888889	[236.46615657 234.82230516 236.30964705] 0.22814444444444446	[139.26185033 112.42110158 156.84112372] 0.047744444444444444	[106.954328   170.79979978 181.10843071] 0.033555555555555554	[24.30464655 62.08785423 74.45541827] 0.07556666666666667
13	[2.52208747 3.05347003 4.18053182] 0.7155444444444444	[183.11356671 158.69315872 107.36698625] 0.06904444444444445	[217.90221966  78.51409852 134.06350742] 0.051755555555555555	[195.06543055 197.9216019  193.67275678] 0.030588888888888888	[226.63023081 196.68253834 129.80137321] 0.13306666666666667
14	[97.46997537 98.09754629 32.68193753] 0.01672222222222222	[239.80171046 231.82467339   0.91109298] 0.20703333333333335	[1.52929224 2.26332371 3.09589062] 0.6823555555555556	[246.19300792 241.07336493 159.60357045] 0.03471111111111111	[202.015272   197.17086936   3.16744153] 0.05917777777777778
15	[4.09904687 5.15493099 7.66654269] 0.6769111111111111	[219.50595542 223.77930797 229.98134003] 0.1709	[235.08818418 179.5893478    1.18138975] 0.06552222222222222	[224.33021381  97.73552311 126.14341389] 0.005755555555555555	[ 96.76606794 127.9313998  158.32093988] 0.08091111111111111
16	[229.75825552 161.29067067 169.08550219] 0.04181111111111111	[2.54592496 2.94543826 4.41440866] 0.6565111111111112	[232.78571981 224.17868677 138.15544787] 0.15313333333333334	[142.93275414  47.49169145  28.85167703] 0.13325555555555554	[106.18788414  99.54494142  79.50907343] 0.015288888888888888
